INFO 2024-10-23 23:38:53,446 autoreload 3304 6480 Watching for file changes with StatReloader
INFO 2024-10-23 23:38:56,291 logging_system 3304 7824 Action logged: VIEW by anwarnawrozi2002@gmail.com
ERROR 2024-10-23 23:38:56,315 logging_system 3304 7824 WARNING: Exception - HTTP 404
NoneType: None

WARNING 2024-10-23 23:38:57,381 log 3304 7824 Not Found: /
WARNING 2024-10-23 23:38:57,383 basehttp 3304 7824 "GET / HTTP/1.1" 404 2493
INFO 2024-10-23 23:38:57,855 logging_system 3304 7824 Action logged: VIEW by anwarnawrozi2002@gmail.com
ERROR 2024-10-23 23:38:57,870 logging_system 3304 7824 WARNING: Exception - HTTP 404
NoneType: None

WARNING 2024-10-23 23:38:58,825 log 3304 7824 Not Found: /favicon.ico
WARNING 2024-10-23 23:38:58,825 basehttp 3304 7824 "GET /favicon.ico HTTP/1.1" 404 2544
INFO 2024-10-23 23:39:00,357 logging_system 3304 7824 Action logged: VIEW by anwarnawrozi2002@gmail.com
ERROR 2024-10-23 23:39:00,375 logging_system 3304 7824 WARNING: Exception - HTTP 404
NoneType: None

WARNING 2024-10-23 23:39:01,313 log 3304 7824 Not Found: /admin/auth/user/
WARNING 2024-10-23 23:39:01,326 basehttp 3304 7824 "GET /admin/auth/user/ HTTP/1.1" 404 4649
INFO 2024-10-23 23:39:01,818 logging_system 3304 7824 Action logged: VIEW by anwarnawrozi2002@gmail.com
ERROR 2024-10-23 23:39:01,831 logging_system 3304 7824 WARNING: Exception - HTTP 404
NoneType: None

WARNING 2024-10-23 23:39:02,739 log 3304 7824 Not Found: /admin/auth/user/
WARNING 2024-10-23 23:39:02,740 basehttp 3304 7824 "GET /admin/auth/user/ HTTP/1.1" 404 4649
INFO 2024-10-23 23:39:08,991 logging_system 3304 7824 Action logged: VIEW by anwarnawrozi2002@gmail.com
INFO 2024-10-23 23:39:09,030 basehttp 3304 7824 "GET /admin/ HTTP/1.1" 200 5888
INFO 2024-10-23 23:39:09,326 basehttp 3304 18620 "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2804
INFO 2024-10-23 23:39:09,329 basehttp 3304 7824 "GET /static/admin/css/base.css HTTP/1.1" 200 22092
INFO 2024-10-23 23:39:09,332 basehttp 3304 19020 "GET /static/admin/css/dashboard.css HTTP/1.1" 200 441
INFO 2024-10-23 23:39:09,333 basehttp 3304 18780 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
INFO 2024-10-23 23:39:09,333 basehttp 3304 12720 "GET /static/admin/css/responsive.css HTTP/1.1" 200 17972
INFO 2024-10-23 23:39:09,335 basehttp 3304 6024 "GET /static/admin/js/theme.js HTTP/1.1" 200 1653
INFO 2024-10-23 23:39:09,344 basehttp 3304 6024 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
INFO 2024-10-23 23:39:09,356 basehttp 3304 6024 "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 200 581
INFO 2024-10-23 23:39:09,356 basehttp 3304 18780 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
INFO 2024-10-23 23:39:13,902 logging_system 3304 18780 Action logged: VIEW by anwarnawrozi2002@gmail.com
ERROR 2024-10-23 23:39:13,915 logging_system 3304 18780 WARNING: Exception - HTTP 404
NoneType: None

WARNING 2024-10-23 23:39:14,841 log 3304 18780 Not Found: /admin/logs/
WARNING 2024-10-23 23:39:14,841 basehttp 3304 18780 "GET /admin/logs/ HTTP/1.1" 404 4634
INFO 2024-10-23 23:39:26,708 logging_system 3304 18780 Action logged: VIEW by anwarnawrozi2002@gmail.com
INFO 2024-10-23 23:39:26,715 basehttp 3304 18780 "GET /admin/ HTTP/1.1" 200 5888
INFO 2024-10-23 23:39:37,515 logging_system 3304 18780 Action logged: VIEW by anwarnawrozi2002@gmail.com
INFO 2024-10-23 23:39:37,521 basehttp 3304 18780 "GET /admin/ HTTP/1.1" 200 5888
INFO 2024-10-23 23:39:51,872 logging_system 3304 18780 Action logged: VIEW by anwarnawrozi2002@gmail.com
ERROR 2024-10-23 23:39:51,885 logging_system 3304 18780 WARNING: Exception - HTTP 404
NoneType: None

WARNING 2024-10-23 23:39:52,837 log 3304 18780 Not Found: /admin/logs/
WARNING 2024-10-23 23:39:52,838 basehttp 3304 18780 "GET /admin/logs/ HTTP/1.1" 404 4634
INFO 2024-10-23 23:39:54,872 logging_system 3304 18780 Action logged: VIEW by anwarnawrozi2002@gmail.com
INFO 2024-10-23 23:39:54,877 basehttp 3304 18780 "GET /admin/ HTTP/1.1" 200 5888
INFO 2024-10-23 23:40:01,972 logging_system 3304 18780 Action logged: VIEW by anwarnawrozi2002@gmail.com
ERROR 2024-10-23 23:40:01,990 logging_system 3304 18780 WARNING: Exception - HTTP 404
NoneType: None

WARNING 2024-10-23 23:40:02,930 log 3304 18780 Not Found: /admin/logs/
WARNING 2024-10-23 23:40:02,931 basehttp 3304 18780 "GET /admin/logs/ HTTP/1.1" 404 4634
INFO 2024-10-23 23:40:04,731 logging_system 3304 18780 Action logged: VIEW by anwarnawrozi2002@gmail.com
INFO 2024-10-23 23:40:04,738 basehttp 3304 18780 "GET /admin/ HTTP/1.1" 200 5888
INFO 2024-10-23 23:41:53,613 autoreload 3304 6480 C:\Users\Anwar\OneDrive\Desktop\booking\Backend\clinic_booking\booking\admin.py changed, reloading.
